policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,honest-0,default,20,1,accepted,3.338177,1.047298,2535.651434,0.017658,2166828,2540.956185
idba,honest-0,default,20,1,accepted,3.130791,1.025761,194.052120,0.016779,142258,199.075482
idba,honest-0,default,20,1,accepted,3.326027,1.027647,4184.358006,0.016309,3597194,4189.570356
idba,honest-0,default,20,1,accepted,2.993600,1.035095,845.615363,0.015825,709674,850.437877
idba,honest-0,default,20,1,accepted,2.982830,1.021296,2267.514302,0.016182,1939398,2272.415697
idba,honest-0,default,20,1,accepted,2.898870,1.069664,920.743851,0.017262,776493,925.595877
idba,honest-0,default,20,1,accepted,3.194482,1.033724,430.136126,0.016050,351583,435.311265
idba,honest-0,default,20,1,accepted,3.042906,1.025460,70.652062,0.015743,34838,75.605189
idba,honest-0,default,20,1,accepted,3.160865,1.056879,1693.717713,0.016501,1432832,1698.837895
idba,honest-0,default,20,1,accepted,3.130517,1.074687,1441.062780,0.016313,1223608,1446.250162
idba,honest-0,default,20,1,accepted,2.766436,1.032901,521.787360,0.015929,428723,526.399047
idba,honest-0,default,20,1,accepted,2.821370,1.034684,600.929360,0.016015,494863,605.617252
idba,honest-0,default,20,1,accepted,3.136775,1.042160,2151.970949,0.015943,1838729,2156.905222
idba,honest-0,default,20,1,accepted,2.959782,1.066532,594.227215,0.016105,490039,599.161370
idba,honest-0,default,20,1,accepted,3.008257,0.886303,295.252171,0.016009,228897,299.935782
idba,honest-0,default,20,1,accepted,3.352775,1.055717,462.970815,0.016071,373546,468.198194
idba,honest-0,default,20,1,accepted,2.992645,1.050002,3911.395515,0.016121,3363307,3916.284309
idba,honest-0,default,20,1,accepted,2.825662,1.078126,4902.852319,0.016886,4219135,4907.633909
idba,honest-0,default,20,1,accepted,3.088852,0.987320,653.810586,0.015687,544332,658.733520
idba,honest-0,default,20,1,accepted,3.254129,1.014852,909.395431,0.016118,762830,914.469740
idba,honest-0,default,20,1,accepted,3.380230,1.524776,26.628887,0.015799,6515,32.380202
idba,honest-0,default,20,1,accepted,3.240309,1.030574,2568.962535,0.015828,2199724,2574.104051
idba,honest-0,default,20,1,accepted,3.116082,1.052123,1020.727021,0.016067,858119,1025.792120
idba,honest-0,default,20,1,accepted,3.275477,1.051362,185.647084,0.015899,135769,190.896118
idba,honest-0,default,20,1,accepted,2.920172,1.090878,157.840603,0.015713,112013,162.638237
idba,honest-0,default,20,1,accepted,3.113738,1.143572,2398.579265,0.023985,2051595,2403.742816
idba,honest-0,default,20,1,accepted,3.389628,1.067805,499.361934,0.017493,406916,504.646210
idba,honest-0,default,20,1,accepted,3.329139,1.043816,2023.496966,0.017704,1726876,2028.688363
idba,honest-0,default,20,1,accepted,3.307075,1.075643,77.531547,0.016142,40524,82.765943
idba,honest-0,default,20,1,accepted,3.268174,1.745924,7.949775,0.015967,1789,13.881033
idba,honest-0,default,20,1,accepted,3.152117,1.062746,2762.853327,0.015942,2375980,2767.988634
idba,honest-0,default,20,1,accepted,2.927137,1.023429,3582.454640,0.016738,3062152,3587.300116
idba,honest-0,default,20,1,accepted,2.746611,1.012863,651.242382,0.015754,540947,655.881101
idba,honest-0,default,20,1,accepted,2.943067,1.044938,438.719323,0.015977,353219,443.473097
idba,honest-0,default,20,1,accepted,2.936560,1.078760,246.670757,0.015882,187997,251.561138
idba,honest-0,default,20,1,accepted,3.061340,1.051935,450.147764,0.016240,362959,455.174969
idba,honest-0,default,20,1,accepted,3.253364,1.069594,675.088711,0.016409,554397,680.307755
idba,honest-0,default,20,1,accepted,3.095185,1.032910,165.381512,0.015802,116933,170.395521
idba,honest-0,default,20,1,accepted,3.258395,1.039510,944.167471,0.015775,782384,949.218229
idba,honest-0,default,20,1,accepted,3.292567,1.031592,298.069858,0.015730,231982,303.319429
idba,honest-0,default,20,1,accepted,3.276542,1.036391,762.559408,0.015911,623696,767.783872
idba,honest-0,default,20,1,accepted,3.268445,1.002861,957.158320,0.017036,786475,962.275548
idba,honest-0,default,20,1,accepted,3.224012,1.068991,2281.787630,0.018466,1915907,2286.900943
idba,honest-0,default,20,1,accepted,2.945785,1.065691,3099.906015,0.017053,2607732,3104.801484
idba,honest-0,default,20,1,accepted,2.936168,1.024247,926.026058,0.015835,768011,930.838244
idba,honest-0,default,20,1,accepted,2.963080,1.040188,637.477217,0.016023,526948,642.253899
idba,honest-0,default,20,1,accepted,3.060993,1.044074,1579.577203,0.015764,1327516,1584.598796
idba,honest-0,default,20,1,accepted,3.025504,1.009879,301.531400,0.016469,229242,306.319739
idba,honest-0,default,20,1,accepted,3.320463,1.056379,444.162318,0.016109,358948,449.354437
idba,honest-0,default,20,1,accepted,3.111988,1.039981,494.782826,0.015850,393299,499.729606
idba,honest-0,default,20,1,accepted,3.170530,1.042335,260.828580,0.015958,195957,265.873294
idba,honest-0,default,20,1,accepted,3.307368,1.029176,463.271839,0.015665,372920,468.550972
idba,honest-0,default,20,1,accepted,3.259230,1.042590,1702.682612,0.015886,1425883,1707.887046
idba,honest-0,default,20,1,accepted,3.061014,1.080550,606.594305,0.016165,491601,611.527028
idba,honest-0,default,20,1,accepted,3.241304,1.097038,358.153514,0.015820,285099,363.298098
idba,honest-0,default,20,1,accepted,3.312878,1.030769,1229.168856,0.016071,1023829,1234.334249
idba,honest-0,default,20,1,accepted,3.214562,1.026874,182.242021,0.016430,131319,187.417103
idba,honest-0,default,20,1,accepted,3.354275,1.036212,859.815959,0.015851,715364,865.116762
idba,honest-0,default,20,1,accepted,3.105006,1.056173,679.437470,0.016924,553809,684.390218
idba,honest-0,default,20,1,accepted,3.099316,1.042375,1445.085007,0.015851,1203527,1450.211331
idba,honest-0,default,20,1,accepted,3.298509,1.043703,1491.968554,0.016564,1265575,1497.162794
idba,honest-0,default,20,1,accepted,3.095432,1.026560,2323.821205,0.016778,1960991,2328.678226
idba,honest-0,default,20,1,accepted,2.934523,1.046250,2989.507373,0.016464,2540361,2994.236598
idba,honest-0,default,20,1,accepted,3.146164,1.027909,220.839553,0.015866,167366,225.734693
idba,honest-0,default,20,1,accepted,3.188570,1.061549,2307.607827,0.016214,1950416,2312.785880
idba,honest-0,default,20,1,accepted,3.222646,1.035663,217.663481,0.015701,159234,222.849867
