policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,sybil-0,hotspot,21,1,accepted,2.254767,2.274316,545.491573,0.017570,1074105,552.079974
idba,sybil-0,default,20,1,accepted,2.756383,1.960953,290.361000,0.015678,575279,297.079958
idba,sybil-0,committee,21,1,accepted,2.671374,2.534386,450.012232,0.017470,884364,457.327894
idba,sybil-0,hotspot,21,1,accepted,2.668242,1.996726,1231.217255,0.017690,2379211,1238.056569
idba,sybil-0,reward,21,1,accepted,2.512214,1.952133,801.967360,0.018408,1561898,808.596420
idba,sybil-0,hotspot,21,1,accepted,2.555212,2.574331,85.087674,0.017576,169572,92.278469
idba,sybil-0,default,20,1,accepted,2.729116,2.505793,37.274942,0.016016,74716,44.875862
idba,sybil-0,hotspot,21,1,accepted,2.641496,1.955458,1749.979662,0.017777,3370465,1756.654539
idba,sybil-0,default,20,1,accepted,2.681165,2.297401,850.772861,0.016755,1655781,857.688430
idba,sybil-0,reward,21,1,accepted,2.594161,1.951444,1013.929372,0.018103,1967886,1020.517652
idba,sybil-0,hotspot,21,1,accepted,2.780079,1.927933,4.213326,0.017656,8704,11.150862
idba,sybil-0,committee,21,1,accepted,2.528208,1.989843,56.214595,0.017535,112346,62.808179
idba,sybil-0,committee,21,1,accepted,2.793091,2.340245,851.933511,0.018867,1661756,859.018739
idba,sybil-0,committee,21,1,accepted,2.884921,2.550915,221.627174,0.017654,438484,229.183564
idba,sybil-0,default,20,1,accepted,2.627824,2.429174,102.309305,0.016120,205185,109.466453
idba,sybil-0,committee,21,1,accepted,2.101953,1.926410,1692.992654,0.018231,3271759,1698.948074
idba,sybil-0,committee,21,1,accepted,2.550165,2.359226,672.272564,0.017319,1315870,679.289486
idba,sybil-0,hotspot,21,1,accepted,2.563719,2.192624,2601.862188,0.017470,4975990,2609.145962
idba,sybil-0,reward,21,1,accepted,2.544462,1.975683,1747.833649,0.018097,3362436,1754.776196
idba,sybil-0,reward,21,1,accepted,2.825929,1.942530,2228.528340,0.018539,4274768,2235.406815
idba,sybil-0,hotspot,21,1,accepted,2.531653,2.600429,530.905115,0.017421,1044741,538.474818
idba,sybil-0,reward,21,1,accepted,2.550837,1.967026,577.386094,0.018102,1131336,584.110769
idba,sybil-0,default,20,1,accepted,2.648666,1.967173,236.212712,0.016014,467678,242.848824
idba,sybil-0,hotspot,21,1,accepted,2.584026,1.997698,387.787185,0.017655,764768,394.644947
idba,sybil-0,committee,21,1,accepted,2.707810,2.378887,1330.676447,0.018208,2564404,1337.922561
idba,sybil-0,committee,21,1,accepted,2.715010,2.045187,356.627979,0.017290,704307,363.417536
idba,sybil-0,hotspot,21,1,accepted,2.654698,2.015886,3416.214814,0.022179,6540163,3423.024499
idba,sybil-0,default,20,1,accepted,2.665247,2.438125,106.774281,0.017601,212883,113.974910
idba,sybil-0,hotspot,21,1,accepted,2.627842,2.541113,1410.385015,0.019369,2708496,1417.703201
idba,sybil-0,reward,21,1,accepted,2.576165,1.938811,231.950785,0.017751,459177,238.563973
idba,sybil-0,committee,21,1,accepted,2.714044,2.011799,421.214149,0.019191,832462,427.913570
idba,sybil-0,hotspot,21,1,accepted,2.755341,1.868262,1041.484887,0.018000,2047247,1048.231655
idba,sybil-0,hotspot,21,1,accepted,2.256150,1.874711,1058.787131,0.018326,2094817,1064.983344
idba,sybil-0,reward,21,1,accepted,2.189591,1.873788,851.131884,0.018582,1689302,857.424490
idba,sybil-0,hotspot,21,1,accepted,2.434734,1.830379,183.336969,0.017657,372569,189.501492
idba,sybil-0,reward,21,1,accepted,2.222301,1.967432,1673.462083,0.018252,3205503,1679.500326
idba,sybil-0,default,20,1,accepted,2.699008,2.293693,793.644587,0.017056,1523787,800.924592
idba,sybil-0,reward,21,1,accepted,2.736555,2.000716,1324.940312,0.018111,2521884,1331.862854
idba,sybil-0,hotspot,21,1,accepted,2.741795,1.946860,409.972655,0.017882,797762,416.722921
idba,sybil-0,default,20,1,accepted,2.876147,2.183740,51.417464,0.015969,100468,58.558189
idba,sybil-0,committee,21,1,accepted,2.888214,2.032278,2802.656036,0.020425,5322930,2809.675063
idba,sybil-0,committee,21,1,accepted,2.173920,2.501763,2476.084968,0.018118,4988585,2482.997813
idba,sybil-0,default,20,1,accepted,2.545980,2.248555,438.019057,0.016304,899055,444.837317
idba,sybil-0,reward,21,1,accepted,2.833167,1.916241,321.525377,0.018621,661089,328.390518
idba,sybil-0,default,20,1,accepted,2.811158,1.930015,648.553720,0.016543,1327089,655.354886
idba,sybil-0,hotspot,21,1,accepted,2.763419,2.015659,911.158641,0.018440,1828167,918.019514
idba,sybil-0,hotspot,21,1,accepted,2.468052,2.318592,5.382198,0.017713,10713,12.294147
idba,sybil-0,hotspot,21,1,accepted,2.496296,1.972921,516.239470,0.018297,1058921,522.798723
idba,sybil-0,hotspot,21,1,accepted,2.530482,1.936582,381.066917,0.017672,771462,387.648808
idba,sybil-0,committee,21,1,accepted,2.865127,2.043271,216.269039,0.017360,440217,223.182510
idba,sybil-0,default,20,1,accepted,2.619707,1.977112,179.585876,0.016511,370538,186.314182
idba,sybil-0,hotspot,21,1,accepted,2.494728,1.880622,385.439608,0.017516,791197,391.813273
idba,sybil-0,default,20,1,accepted,2.792122,2.002962,480.100736,0.015813,974295,486.936974
idba,sybil-0,hotspot,21,1,accepted,2.711615,1.906808,882.262745,0.017253,1768599,889.125598
